200,0
201,0
202,0
203,0
204,0
205,0
206,232
207,640
208,1096
209,1622
210,2220
211,2912
212,3734
213,4664
214,5676
215,6752
216,7902
217,9160
218,10580
219,12146
220,13832
221,15610
222,17472
223,19438
224,21480
225,23542
226,25560
227,27518
228,29418
229,31230
230,32920
231,34400
232,35526
233,36288
234,36696
235,36712
236,36406
237,35834
238,34990
239,33880
240,32444
241,30730
242,28800
243,26676
244,24422
245,22122
246,19854
247,17660
248,15582
249,13674
250,11936
251,10356
252,8946
253,7682
254,6542
255,5530
256,4640
257,3884
258,3230
259,2646
260,2114
261,1618
262,1166
263,780
264,462
265,214
266,40
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,38
289,190
290,352
291,512
292,670
293,848
294,1068
295,1322
296,1582
297,1818
298,2026
299,2216
300,2400
301,2582
302,2762
303,2946
304,3146
305,3378
306,3630
307,3872
308,4076
309,4252
310,4438
311,4670
312,4934
313,5192
314,5422
315,5610
316,5742
317,5834
318,5918
319,6024
320,6142
321,6240
322,6266
323,6218
324,6104
325,5936
326,5742
327,5560
328,5382
329,5182
330,4914
331,4578
332,4198
333,3796
334,3394
335,3006
336,2638
337,2282
338,1926
339,1568
340,1228
341,928
342,670
343,440
344,234
345,50
346,0
347,0
348,0
349,0
350,0
351,0
352,2
353,122
354,284
355,520
356,826
357,1200
358,1636
359,2116
360,2612
361,3118
362,3648
363,4238
364,4880
365,5540
366,6172
367,6760
368,7294
369,7758
370,8164
371,8516
372,8816
373,9042
374,9138
375,9110
376,8974
377,8734
378,8422
379,8066
380,7682
381,7274
382,6828
383,6352
384,5864
385,5388
386,4928
387,4492
388,4084
389,3702
390,3342
391,3008
392,2716
393,2502
394,2352
395,2246
396,2158
397,2068
398,1960
399,1830
400,1700
401,1608
402,1552
403,1502
404,1412
405,1276
406,1104
407,904
408,692
409,486
410,304
411,158
412,66
413,18
414,0
415,0
416,0
417,0
418,0
419,0
420,14
421,140
422,298
423,482
424,688
425,922
426,1204
427,1536
428,1912
429,2332
430,2788
431,3266
432,3760
433,4268
434,4792
435,5338
436,5914
437,6522
438,7134
439,7700
440,8208
441,8650
442,9014
443,9310
444,9544
445,9702
446,9770
447,9698
448,9494
449,9162
450,8690
451,8110
452,7460
453,6780
454,6108
455,5484
456,4914
457,4388
458,3900
459,3438
460,3004
461,2610
462,2268
463,2004
464,1810
465,1666
466,1566
467,1492
468,1432
469,1382
470,1346
471,1338
472,1352
473,1382
474,1420
475,1454
476,1474
477,1468
478,1448
479,1434
480,1426
481,1424
482,1420
483,1406
484,1378
485,1332
486,1282
487,1244
488,1214
489,1180
490,1124
491,1052
492,980
493,918
494,868
495,812
496,750
497,692
498,650
499,616
500,580
501,530
502,468
503,416
504,372
505,332
506,288
507,236
508,180
509,126
510,76
511,28
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,28
522,82
523,126
524,154
525,176
526,208
527,272
528,360
529,462
530,558
531,634
532,678
533,694
534,688
535,670
536,650
537,634
538,628
539,636
540,666
541,706
542,746
543,780
